	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
CD109	5.39E-06	1.00E-08	6.91E-06	1.15E-05	1.00E-08	4.39E-06	9.17E-06	3.07E-06	4.22E-06	1.89E-06	1.00E-08	1.53E-05	1.09E-05
COL12A1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
COX7A2	0.000484842	0.000366642	0.00038657	0.000505265	0.000529481	0.00039487	0.000333651	0.000361084	0.000484051	0.000351694	0.000131386	0.000597063	0.000647828
TMEM30A	6.65E-05	0.000100435	6.21E-05	0.000195222	0.000152742	8.86E-05	7.56E-05	8.95E-05	9.68E-05	0.000109088	0.000226932	7.66E-05	6.15E-05
FILIP1	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SENP6	0.000115718	0.000183326	9.67E-05	0.000195222	0.00014256	9.60E-05	7.65E-05	9.03E-05	7.16E-05	0.000105327	0.000262762	9.19E-05	7.60E-05
MYO6	1.22E-05	2.55E-05	6.91E-06	9.19E-05	1.00E-08	2.74E-05	2.74E-05	3.29E-05	5.05E-05	2.07E-05	9.56E-05	3.06E-05	7.25E-06
IRAK1BP1	3.18E-06	9.57E-06	1.00E-08	2.30E-05	3.06E-05	2.06E-06	3.20E-06	9.95E-06	8.43E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PHIP	0.000141202	0.000173762	0.000117359	0.000218188	0.000162924	0.000124985	0.000122003	0.000136178	0.000130491	0.00014294	0.000286648	0.000153101	0.000148393
HMGN3	0.000253269	0.000312445	0.000324444	0.000539714	0.000224017	0.000336482	0.000287574	0.000357259	0.000391452	0.00036862	0.000310535	0.000474591	0.000394491
LCA5	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SH3BGRL2	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ELOVL4	1.12E-06	1.00E-08	1.00E-08	1.15E-05	1.00E-08	1.35E-06	2.23E-06	7.75E-07	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
TTK	4.28E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.42E-06	2.37E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	6.15E-05
BCKDHB	1.63E-05	2.55E-05	3.45E-05	4.59E-05	2.04E-05	1.61E-05	1.81E-05	1.76E-05	8.43E-06	3.01E-05	0.000107499	1.00E-08	1.09E-05
IBTK	4.77E-05	8.13E-05	4.83E-05	0.00014929	3.06E-05	4.48E-05	4.16E-05	4.36E-05	6.74E-05	6.77E-05	7.17E-05	1.53E-05	3.98E-05
TPBG	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.22E-07	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
UBE3D	4.44E-06	6.39E-06	1.00E-08	1.15E-05	1.00E-08	5.95E-06	6.81E-06	1.22E-05	1.00E-08	1.88E-05	4.78E-05	1.00E-08	1.09E-05
PGM3	1.24E-05	1.44E-05	6.91E-06	2.30E-05	1.02E-05	1.11E-05	1.43E-05	1.07E-05	4.22E-06	1.32E-05	7.17E-05	1.00E-08	7.25E-06
RWDD2A	8.01E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.78E-06	3.48E-06	3.07E-06	4.22E-06	5.65E-06	1.00E-08	1.00E-08	1.00E-08
ME1	4.60E-06	7.98E-06	1.00E-08	1.00E-08	1.00E-08	3.63E-07	2.88E-07	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
PRSS35	3.27E-07	4.79E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.20E-05	1.00E-08	1.00E-08
SNAP91	4.85E-07	1.00E-08	1.38E-05	1.15E-05	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
CYB5R4	4.81E-05	6.86E-05	3.45E-05	2.30E-05	7.13E-05	6.50E-05	4.90E-05	6.96E-05	5.47E-05	5.64E-05	0.000119443	1.53E-05	5.07E-05
CEP162	9.19E-06	7.98E-06	6.91E-06	1.15E-05	1.02E-05	8.56E-06	1.21E-05	1.15E-05	2.11E-05	1.51E-05	2.39E-05	3.06E-05	3.63E-06
NT5E	7.45E-06	6.39E-06	1.38E-05	1.15E-05	1.00E-08	8.00E-06	6.26E-06	6.13E-06	1.00E-08	3.77E-06	2.39E-05	1.00E-08	7.25E-06
SNX14	6.98E-05	0.000102029	3.45E-05	9.19E-05	6.11E-05	5.52E-05	5.08E-05	5.97E-05	0.000105236	9.03E-05	0.000191102	0.000107173	6.15E-05
SYNCRIP	0.000111444	0.000129128	0.00014497	0.000252638	0.00014256	0.000103779	8.49E-05	0.000104813	0.0001347	0.000120372	0.000179159	6.12E-05	0.000126678
CGA	9.60E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.17E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZNF292	9.91E-05	0.000186514	0.000234707	0.00014929	9.16E-05	0.000105476	8.77E-05	9.95E-05	0.00017679	0.000157986	0.000274705	0.000137792	7.60E-05
SMIM8	1.05E-05	1.12E-05	2.07E-05	2.30E-05	1.00E-08	1.63E-05	1.81E-05	1.76E-05	3.79E-05	2.45E-05	1.00E-08	1.53E-05	1.81E-05
C6orf163	1.00E-08	1.60E-06	1.00E-08	1.00E-08	1.00E-08	4.34E-07	1.12E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
SLC35A1	1.87E-05	2.87E-05	4.14E-05	3.45E-05	2.04E-05	2.50E-05	2.58E-05	3.29E-05	4.63E-05	3.95E-05	7.17E-05	3.06E-05	3.62E-05
RARS2	1.63E-05	3.35E-05	1.38E-05	2.30E-05	2.04E-05	2.02E-05	1.78E-05	2.60E-05	3.79E-05	3.01E-05	9.56E-05	3.06E-05	2.17E-05
ORC3	2.49E-05	1.75E-05	1.38E-05	3.45E-05	3.06E-05	1.80E-05	2.11E-05	1.99E-05	1.26E-05	1.13E-05	7.17E-05	1.00E-08	3.26E-05
AKIRIN2	0.000176341	0.000247088	6.21E-05	0.000114841	9.16E-05	0.000162803	0.000140461	0.000185137	0.000113655	0.000118492	9.56E-05	0.000137792	0.00011944
RNGTT	3.88E-05	4.62E-05	7.59E-05	2.30E-05	0.000101831	4.14E-05	4.07E-05	3.44E-05	6.31E-05	5.45E-05	0.000179159	3.06E-05	5.43E-05
PNRC1	0.001478092	0.00154943	0.002761154	0.00101052	0.000773852	0.001989226	0.001873479	0.001764068	0.001144873	0.001092675	0.001230165	0.001775861	0.000325729
SRSF12	8.01E-07	1.00E-08	1.00E-08	1.00E-08	1.02E-05	1.42E-06	9.82E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PM20D2	1.50E-05	1.44E-05	6.91E-06	2.30E-05	4.07E-05	8.78E-06	8.75E-06	9.19E-06	4.22E-06	1.32E-05	2.39E-05	1.00E-08	2.17E-05
UBE2J1	0.000226043	0.000175356	0.000213999	0.000183739	0.000183288	0.000220201	0.000145735	0.000164482	0.000130491	0.000127895	0.000203045	9.19E-05	6.52E-05
RRAGD	1.28E-06	1.00E-08	6.91E-06	1.00E-08	1.00E-08	3.63E-07	5.65E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ANKRD6	6.18E-06	6.39E-06	2.07E-05	1.15E-05	1.02E-05	1.85E-06	1.68E-06	4.60E-06	1.00E-08	3.77E-06	1.00E-08	1.00E-08	3.63E-06
LYRM2	5.27E-05	6.22E-05	0.000124261	6.89E-05	0.000132378	4.91E-05	4.64E-05	6.66E-05	7.16E-05	7.34E-05	3.58E-05	6.12E-05	7.96E-05
MDN1	4.10E-05	4.78E-05	3.45E-05	9.19E-05	1.02E-05	2.72E-05	2.39E-05	2.07E-05	1.26E-05	3.39E-05	0.000107499	1.00E-08	3.63E-06
CASP8AP2	2.68E-05	4.15E-05	7.59E-05	2.30E-05	5.09E-05	2.89E-05	3.12E-05	4.06E-05	3.37E-05	5.27E-05	0.000119443	3.06E-05	6.15E-05
BACH2	8.23E-05	2.55E-05	0.000165679	0.000114841	2.04E-05	1.92E-05	1.64E-05	1.45E-05	1.68E-05	9.41E-06	0.000107499	1.53E-05	3.63E-06
MAP3K7	3.85E-05	4.15E-05	4.83E-05	0.000195222	5.09E-05	4.87E-05	4.34E-05	5.97E-05	4.21E-05	7.71E-05	0.000131386	1.53E-05	3.98E-05
MANEA	1.38E-05	2.07E-05	1.38E-05	1.15E-05	3.06E-05	8.99E-06	1.50E-05	1.15E-05	2.53E-05	1.32E-05	5.97E-05	1.00E-08	3.26E-05
UFL1	6.16E-05	0.000114782	0.00014497	0.000114841	8.15E-05	7.07E-05	5.94E-05	7.50E-05	6.74E-05	0.00011473	0.000143329	0.000122482	9.77E-05
FHL5	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
GPR63	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	6.46E-07	1.12E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
NDUFAF4	4.72E-05	4.15E-05	4.14E-05	4.59E-05	2.04E-05	5.39E-05	5.61E-05	7.12E-05	5.05E-05	7.34E-05	3.58E-05	4.59E-05	5.79E-05
KLHL32	8.01E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	7.88E-07	1.68E-06	2.30E-06	1.00E-08	5.65E-06	1.00E-08	1.00E-08	1.00E-08
MMS22L	9.67E-06	1.60E-05	6.91E-06	3.45E-05	1.02E-05	6.80E-06	7.37E-06	6.89E-06	4.22E-06	1.51E-05	7.17E-05	1.53E-05	2.90E-05
POU3F2	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
FBXL4	1.92E-05	4.94E-05	3.45E-05	8.04E-05	3.06E-05	1.84E-05	1.99E-05	3.67E-05	8.43E-06	4.70E-05	8.36E-05	1.00E-08	1.09E-05
FAXC	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
COQ3	2.86E-06	6.39E-06	1.00E-08	1.15E-05	1.00E-08	3.62E-06	5.28E-06	4.60E-06	8.43E-06	7.53E-06	1.00E-08	1.00E-08	1.45E-05
PNISR	0.000256118	0.000452721	0.00043489	0.000424884	0.000519299	0.000282477	0.000246216	0.000378678	0.000324107	0.000409994	0.000919641	0.000290882	0.000177346
USP45	9.51E-06	1.91E-05	1.38E-05	2.30E-05	2.04E-05	7.22E-06	9.03E-06	1.15E-05	4.22E-06	7.53E-06	4.78E-05	1.00E-08	1.09E-05
CCNC	5.94E-05	9.25E-05	7.59E-05	8.04E-05	8.15E-05	4.77E-05	4.83E-05	6.20E-05	4.63E-05	6.77E-05	0.000119443	1.53E-05	4.71E-05
PRDM13	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ASCC3	7.65E-05	0.000124346	0.000110456	0.000103358	7.13E-05	6.44E-05	5.97E-05	5.36E-05	7.16E-05	6.21E-05	0.000310535	7.66E-05	5.79E-05
HACE1	1.43E-05	2.39E-05	1.00E-08	4.59E-05	1.02E-05	1.33E-05	1.07E-05	9.19E-06	4.22E-06	9.41E-06	5.97E-05	1.00E-08	1.09E-05
BVES	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PREP	7.04E-05	0.000111594	6.21E-05	6.89E-05	0.000152742	7.63E-05	6.76E-05	8.19E-05	8.00E-05	8.65E-05	0.000119443	7.66E-05	9.05E-05
PRDM1	9.17E-05	0.000239118	7.59E-05	5.74E-05	0.000112013	0.000269046	0.000241497	0.000437582	0.000265181	0.000295274	0.000286648	0.000214337	0.00011944
ATG5	8.28E-05	0.000111594	3.45E-05	0.000114841	9.16E-05	9.46E-05	8.81E-05	0.000103283	7.16E-05	0.000109088	0.000238875	1.00E-08	9.41E-05
RTN4IP1	3.65E-06	1.12E-05	1.00E-08	1.15E-05	2.04E-05	3.40E-06	3.76E-06	6.89E-06	1.00E-08	3.77E-06	3.58E-05	1.00E-08	3.63E-06
QRSL1	1.60E-05	3.03E-05	2.76E-05	1.15E-05	2.04E-05	1.41E-05	1.60E-05	2.07E-05	2.11E-05	3.01E-05	2.39E-05	1.00E-08	1.09E-05
BEND3	1.91E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	2.06E-06	8.43E-07	1.00E-08	1.00E-08	3.77E-06	1.00E-08	1.00E-08	1.00E-08
PDSS2	1.63E-05	3.35E-05	2.07E-05	1.15E-05	3.06E-05	1.63E-05	1.87E-05	2.22E-05	2.53E-05	3.01E-05	8.36E-05	1.00E-08	1.81E-05
SOBP	4.85E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SCML4	0.000214647	0.000307662	0.000276124	0.000287087	0.000203653	0.000244165	0.000208327	0.000204261	0.000164163	0.000139179	0.000561343	0.000199028	6.15E-05
SEC63	7.41E-05	9.25E-05	0.000103553	8.04E-05	9.16E-05	7.68E-05	6.50E-05	7.57E-05	7.16E-05	8.28E-05	0.000167216	6.12E-05	6.88E-05
OSTM1	5.65E-05	8.93E-05	8.97E-05	0.000137807	5.09E-05	8.47E-05	7.65E-05	9.49E-05	9.26E-05	0.000107208	0.000155272	4.59E-05	6.88E-05
SNX3	0.000240131	0.000219989	0.000255416	0.000218188	0.000295292	0.00025809	0.000330598	0.000310594	0.000290435	0.000302797	0.000107499	0.000244955	0.000325729
FOXO3	8.04E-05	7.65E-05	6.90E-05	1.15E-05	2.04E-05	7.49E-05	6.19E-05	3.90E-05	1.68E-05	5.64E-05	9.56E-05	3.06E-05	2.53E-05
ARMC2	1.03E-05	1.28E-05	1.00E-08	2.30E-05	2.04E-05	8.63E-06	1.03E-05	1.38E-05	4.22E-06	1.69E-05	3.58E-05	1.53E-05	1.09E-05
SESN1	0.000118883	0.000357078	0.000207096	0.000114841	0.000132378	5.64E-05	0.000126583	7.42E-05	7.58E-05	8.84E-05	0.000394137	7.66E-05	2.17E-05
CEP57L1	6.82E-06	1.44E-05	2.07E-05	2.30E-05	1.02E-05	6.02E-06	1.35E-05	1.22E-05	4.22E-06	1.69E-05	1.00E-08	1.53E-05	4.71E-05
CD164	0.000309619	0.000368236	0.000317542	0.000505265	0.000213835	0.000479271	0.000362102	0.000546975	0.000441961	0.000601822	0.00051357	0.000352118	0.000228013
PPIL6	8.01E-07	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.35E-06	2.51E-06	2.30E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SMPD2	2.33E-05	3.35E-05	4.83E-05	2.30E-05	4.07E-05	2.57E-05	1.85E-05	1.99E-05	2.11E-05	5.65E-06	1.20E-05	1.53E-05	2.90E-05
MICAL1	4.70E-05	4.78E-05	2.07E-05	0.000103358	4.07E-05	3.27E-05	2.76E-05	2.91E-05	2.11E-05	3.39E-05	7.17E-05	3.06E-05	2.17E-05
ZBTB24	1.98E-05	2.39E-05	4.14E-05	5.74E-05	1.02E-05	1.84E-05	1.81E-05	2.30E-05	3.79E-05	2.63E-05	4.78E-05	1.53E-05	1.81E-05
AK9	1.03E-05	1.44E-05	2.76E-05	3.45E-05	4.07E-05	1.12E-05	1.28E-05	1.76E-05	1.26E-05	1.88E-05	4.78E-05	1.53E-05	1.09E-05
FIG4	1.46E-05	1.12E-05	2.07E-05	2.30E-05	2.04E-05	2.10E-05	2.89E-05	3.14E-05	3.37E-05	4.33E-05	4.78E-05	1.53E-05	7.25E-06
WASF1	2.38E-06	4.79E-06	2.07E-05	4.59E-05	1.00E-08	2.93E-07	2.88E-07	1.00E-08	1.00E-08	1.89E-06	2.39E-05	1.00E-08	1.00E-08
CDC40	9.06E-05	8.93E-05	0.000151873	0.000172256	0.000122196	0.000104557	0.000101324	9.49E-05	8.84E-05	0.000110969	0.000191102	0.000107173	5.79E-05
METTL24	1.91E-06	1.12E-05	6.91E-06	1.15E-05	1.00E-08	1.42E-06	1.26E-06	5.36E-06	1.00E-08	1.00E-08	3.58E-05	1.00E-08	3.63E-06
DDO	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
CDK19	1.69E-05	3.03E-05	1.38E-05	3.45E-05	3.06E-05	2.13E-05	2.40E-05	2.30E-05	2.53E-05	3.01E-05	5.97E-05	3.06E-05	2.53E-05
AMD1	0.000212273	0.000130722	0.00014497	9.19E-05	6.11E-05	0.000205498	0.000299787	0.000179017	9.68E-05	0.000110969	5.97E-05	0.000107173	0.000115821
GTF3C6	0.00013028	7.97E-05	6.90E-05	0.000137807	0.000193471	0.000128025	0.000123391	0.000141532	0.000109445	0.000116611	4.78E-05	0.000107173	0.000242489
RPF2	2.42E-05	2.71E-05	2.76E-05	4.59E-05	4.07E-05	2.19E-05	2.24E-05	2.53E-05	1.26E-05	3.01E-05	2.39E-05	3.06E-05	3.62E-05
SLC16A10	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
REV3L	6.35E-05	7.17E-05	0.000103553	6.89E-05	7.13E-05	4.90E-05	4.94E-05	3.21E-05	4.63E-05	4.51E-05	8.36E-05	1.00E-08	2.53E-05
TRAF3IP2	1.27E-05	9.57E-06	2.76E-05	4.59E-05	1.02E-05	8.92E-06	6.81E-06	6.89E-06	4.22E-06	2.07E-05	1.00E-08	1.00E-08	1.45E-05
FYN	0.000605457	0.000785878	0.000303736	0.000195222	0.000437842	0.000592088	0.000384724	0.000430697	0.000378825	0.000387426	0.00095547	0.0004899	0.000206298
TUBE1	1.52E-05	1.91E-05	4.14E-05	1.15E-05	2.04E-05	1.73E-05	1.60E-05	3.06E-05	4.22E-06	2.82E-05	4.78E-05	1.00E-08	1.09E-05
FAM229B	5.39E-06	7.98E-06	6.91E-06	1.00E-08	1.02E-05	8.35E-06	5.70E-06	8.42E-06	4.22E-06	7.53E-06	1.00E-08	1.00E-08	1.00E-08
LAMA4	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
HDAC2	7.60E-05	6.70E-05	6.90E-05	0.00014929	8.15E-05	6.82E-05	8.05E-05	8.65E-05	8.42E-05	0.000103446	3.58E-05	6.12E-05	0.00015925
FRK	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
NT5DC1	3.89E-05	6.06E-05	7.59E-05	8.04E-05	5.09E-05	2.69E-05	2.94E-05	3.06E-05	2.95E-05	5.64E-05	0.000107499	3.06E-05	1.45E-05
COL10A1	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TSPYL4	3.10E-05	4.62E-05	6.91E-06	3.45E-05	1.02E-05	1.57E-05	3.62E-05	1.61E-05	2.53E-05	1.69E-05	3.58E-05	1.53E-05	1.45E-05
DSE	1.30E-05	2.07E-05	1.38E-05	1.15E-05	1.00E-08	9.48E-06	1.29E-05	8.42E-06	1.00E-08	3.77E-06	5.97E-05	1.00E-08	3.63E-06
TSPYL1	0.000108595	5.26E-05	8.28E-05	5.74E-05	4.07E-05	8.31E-05	7.80E-05	4.82E-05	4.21E-05	5.27E-05	9.56E-05	3.06E-05	3.62E-05
RWDD1	0.000243772	0.000226366	0.000234707	0.000241154	0.000264746	0.000212214	0.000187371	0.000203496	0.000260971	0.000218167	0.000179159	0.000229646	0.000256966
RSPH4A	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	7.75E-07	1.00E-08	3.77E-06	1.00E-08	1.53E-05	1.00E-08
KPNA5	2.90E-05	3.99E-05	2.76E-05	2.30E-05	5.09E-05	2.91E-05	2.43E-05	4.36E-05	1.68E-05	2.45E-05	0.000143329	3.06E-05	2.17E-05
FAM162B	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DCBLD1	1.03E-05	3.03E-05	1.00E-08	2.30E-05	2.04E-05	6.09E-06	1.24E-05	1.15E-05	1.26E-05	7.53E-06	4.78E-05	1.00E-08	3.63E-06
GOPC	6.25E-05	9.72E-05	7.59E-05	0.000172256	7.13E-05	6.16E-05	8.19E-05	0.000103283	8.42E-05	9.78E-05	0.000155272	0.000107173	7.96E-05
NUS1	4.23E-05	5.90E-05	4.83E-05	3.45E-05	5.09E-05	4.14E-05	3.79E-05	4.21E-05	5.05E-05	3.01E-05	5.97E-05	7.66E-05	5.07E-05
CEP85L	4.07E-05	4.94E-05	4.83E-05	3.45E-05	5.09E-05	4.83E-05	5.22E-05	6.04E-05	2.53E-05	6.96E-05	0.000191102	1.53E-05	3.62E-05
PLN	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MCM9	1.62E-05	1.91E-05	1.38E-05	3.45E-05	2.04E-05	1.22E-05	1.21E-05	1.22E-05	1.26E-05	2.26E-05	4.78E-05	3.06E-05	1.09E-05
ASF1A	8.28E-05	7.01E-05	2.07E-05	5.74E-05	1.02E-05	4.81E-05	4.83E-05	3.90E-05	4.21E-05	5.08E-05	5.97E-05	4.59E-05	6.52E-05
FAM184A	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	2.93E-07	9.82E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MAN1A1	2.91E-05	4.30E-05	1.38E-05	6.89E-05	5.09E-05	5.06E-05	5.27E-05	4.82E-05	4.21E-05	4.51E-05	7.17E-05	6.12E-05	2.90E-05
TBC1D32	6.18E-06	1.60E-05	6.91E-06	2.30E-05	1.02E-05	5.66E-06	5.70E-06	9.19E-06	4.22E-06	3.77E-06	2.39E-05	1.00E-08	3.63E-06
GJA1	1.00E-08	1.60E-06	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
HSF2	1.76E-05	1.60E-05	2.07E-05	2.30E-05	1.00E-08	1.90E-05	2.97E-05	2.53E-05	1.68E-05	3.20E-05	7.17E-05	1.53E-05	1.45E-05
SERINC1	0.000228101	0.000255059	0.000200193	0.000206705	0.000183288	0.000243387	0.000192228	0.000201966	0.000193627	0.000188076	0.000334421	0.000244955	8.32E-05
PKIB	1.91E-06	1.00E-08	6.91E-06	1.00E-08	1.00E-08	3.63E-07	1.68E-06	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SMPDL3A	1.91E-06	6.39E-06	1.00E-08	1.00E-08	1.00E-08	9.29E-07	1.68E-06	1.00E-08	4.22E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08
RNF217	3.18E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.57E-06	4.26E-07	1.54E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	3.63E-06
TPD52L1	6.43E-07	1.00E-08	1.00E-08	2.30E-05	1.00E-08	1.99E-06	9.82E-07	1.54E-06	4.22E-06	5.65E-06	1.00E-08	1.53E-05	1.00E-08
HDDC2	5.56E-05	6.86E-05	2.07E-05	3.45E-05	9.16E-05	0.000143788	0.00014629	0.000180547	0.000265181	0.000214405	8.36E-05	0.000275573	0.000155631
HEY2	1.43E-06	1.60E-06	1.00E-08	1.00E-08	1.00E-08	1.34E-05	1.25E-05	4.60E-06	4.22E-06	7.53E-06	1.00E-08	1.53E-05	3.63E-06
NCOA7	8.20E-05	7.49E-05	6.90E-05	0.000401917	7.13E-05	7.46E-05	8.12E-05	7.96E-05	0.000122073	6.02E-05	0.000203045	7.66E-05	3.26E-05
HINT3	3.12E-05	2.55E-05	2.76E-05	5.74E-05	2.04E-05	2.57E-05	2.65E-05	2.91E-05	2.95E-05	2.07E-05	3.58E-05	4.59E-05	2.17E-05
TRMT11	1.82E-05	1.91E-05	1.38E-05	1.15E-05	1.02E-05	1.78E-05	1.64E-05	1.84E-05	2.53E-05	2.26E-05	4.78E-05	4.59E-05	1.81E-05
CENPW	1.76E-05	3.20E-06	1.00E-08	1.15E-05	1.00E-08	4.82E-06	8.34E-06	7.75E-07	4.22E-06	1.89E-06	1.00E-08	1.00E-08	0.000177346
RNF146	2.69E-05	8.13E-05	6.21E-05	0.000114841	4.07E-05	2.91E-05	4.05E-05	6.20E-05	6.31E-05	6.77E-05	8.36E-05	3.06E-05	2.17E-05
ECHDC1	7.00E-05	0.000102029	4.83E-05	0.000172256	7.13E-05	7.54E-05	7.76E-05	9.64E-05	8.00E-05	9.40E-05	0.000179159	0.000107173	8.69E-05
THEMIS	5.87E-06	1.60E-05	1.00E-08	1.00E-08	1.00E-08	3.47E-06	2.23E-06	2.30E-06	8.43E-06	5.65E-06	0.000167216	1.53E-05	3.63E-06
PTPRK	9.60E-07	1.00E-08	1.00E-08	1.15E-05	1.00E-08	3.63E-07	2.88E-07	1.00E-08	1.00E-08	1.89E-06	1.00E-08	1.00E-08	1.00E-08
LAMA2	6.43E-07	1.00E-08	1.00E-08	1.00E-08	1.02E-05	2.63E-06	2.92E-06	3.83E-06	8.43E-06	3.77E-06	1.00E-08	1.00E-08	1.00E-08
ARHGAP18	7.35E-05	7.49E-05	3.45E-05	1.15E-05	7.13E-05	4.53E-05	5.77E-05	6.04E-05	3.37E-05	5.27E-05	9.56E-05	7.66E-05	7.24E-05
