	NK.c06.CD56brightCD16lo.CREM	NK.c04.CD56brightCD16lo.CCL3	NK.c05.CD56brightCD16lo.IL7R	NK.c03.CD56brightCD16lo.IL7R.RGS1lo	NK.c02.CD56brightCD16lo.GZMH	NK.c13.CD56dimCD16hi.NR4A3	NK.c12.CD56dimCD16hi.DNAJB1	NK.c10.CD56dimCD16hi.NFKBIA	NK.c07.CD56dimCD16hi.IL32	NK.c08.CD56dimCD16hi.CX3CR1	NK.c01.CD56brightCD16hi	NK.c09.CD56dimCD16hi.ZNF90	NK.c11.CD56dimCD16hi.MKI67
WWTR1	1.28E-06	4.79E-06	1.00E-08	1.00E-08	1.02E-05	7.88E-07	9.82E-07	1.54E-06	1.00E-08	1.00E-08	1.20E-05	1.53E-05	1.00E-08
COMMD2	6.81E-05	8.61E-05	8.97E-05	6.89E-05	4.07E-05	6.25E-05	6.12E-05	6.89E-05	8.00E-05	9.22E-05	4.78E-05	9.19E-05	6.15E-05
RNF13	6.78E-05	9.57E-05	7.59E-05	0.000103358	5.09E-05	8.33E-05	8.56E-05	8.95E-05	0.000122073	0.000133537	9.56E-05	0.000153101	3.62E-05
PFN2	2.38E-06	1.00E-08	2.76E-05	1.15E-05	1.00E-08	1.78E-06	2.23E-06	3.07E-06	4.22E-06	1.89E-06	1.00E-08	1.00E-08	3.63E-06
TSC22D2	9.47E-05	7.49E-05	5.52E-05	3.45E-05	2.04E-05	0.000107596	9.47E-05	8.11E-05	5.05E-05	4.89E-05	0.000119443	4.59E-05	3.26E-05
SERP1	0.000583455	0.000506919	0.000669587	0.00044785	0.000407295	0.000592936	0.000536001	0.000470477	0.000404079	0.000417517	0.000298591	0.000566445	0.000510302
EIF2A	0.000105429	0.000127534	0.000151873	0.000160773	0.000132378	0.00010279	0.000103128	9.64E-05	0.000101027	8.84E-05	0.000155272	3.06E-05	9.77E-05
ERICH6	8.01E-07	3.20E-06	1.00E-08	1.00E-08	1.00E-08	1.14E-06	2.23E-06	1.00E-08	8.43E-06	5.65E-06	1.00E-08	1.00E-08	3.63E-06
SIAH2	0.000122682	7.65E-05	5.52E-05	0.000103358	6.11E-05	0.00012343	0.000123807	8.87E-05	6.74E-05	5.08E-05	3.58E-05	9.19E-05	6.52E-05
MED12L	2.54E-06	1.00E-08	6.91E-06	2.30E-05	1.00E-08	8.58E-07	8.43E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
GPR171	7.31E-05	0.000140287	3.45E-05	0.000126324	3.06E-05	3.41E-05	5.18E-05	3.44E-05	3.79E-05	3.57E-05	0.000143329	3.06E-05	5.43E-05
P2RY14	8.40E-06	4.79E-06	8.97E-05	2.30E-05	1.00E-08	4.34E-07	8.43E-07	1.00E-08	8.43E-06	1.89E-06	1.00E-08	1.00E-08	1.00E-08
P2RY13	1.00E-08	1.60E-06	6.91E-06	1.00E-08	1.00E-08	2.22E-07	7.04E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
P2RY12	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
IGSF10	1.28E-06	1.60E-06	2.07E-05	1.15E-05	1.00E-08	5.05E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SUCNR1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	5.65E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MBNL1	0.000513809	0.000776314	0.000469404	0.000884206	0.00071276	0.000485986	0.000433438	0.000526321	0.000505097	0.000505908	0.001851214	0.000505209	0.000329348
P2RY1	2.86E-06	1.60E-06	1.00E-08	3.45E-05	1.00E-08	1.51E-07	4.26E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	3.63E-06
RAP2B	7.36E-05	5.42E-05	6.90E-05	5.74E-05	8.15E-05	0.000146262	9.92E-05	8.11E-05	0.000105236	0.000118492	4.78E-05	9.19E-05	6.15E-05
ARHGEF26	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	7.17E-07	5.65E-07	1.54E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
DHX36	0.000294423	0.000253465	0.000186387	4.59E-05	0.000162924	0.000266431	0.000171688	0.000189727	0.000147327	0.000165508	0.000250818	0.000199028	8.32E-05
MME	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PLCH1	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	7.75E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
C3orf33	1.43E-06	1.00E-08	6.91E-06	1.15E-05	1.02E-05	4.68E-06	5.01E-06	7.66E-06	8.43E-06	1.89E-06	1.20E-05	1.53E-05	1.00E-08
SLC33A1	2.36E-05	3.99E-05	2.76E-05	5.74E-05	6.11E-05	2.01E-05	2.74E-05	3.83E-05	4.21E-05	5.45E-05	0.000107499	3.06E-05	1.45E-05
GMPS	4.81E-05	4.94E-05	7.59E-05	6.89E-05	3.06E-05	5.54E-05	6.15E-05	6.50E-05	6.74E-05	6.40E-05	0.000119443	9.19E-05	9.41E-05
KCNAB1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	4.34E-07	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SSR3	0.000173176	0.000172168	0.00019329	0.000160773	0.000224017	0.000165984	0.00015545	0.000160657	0.000151536	0.000135418	0.000107499	0.00016841	0.000209917
TIPARP	0.000312468	0.000232742	0.000172581	1.15E-05	0.000122196	0.0001985	0.000235391	0.000183607	7.58E-05	8.46E-05	0.000107499	7.66E-05	7.60E-05
LEKR1	3.02E-06	4.79E-06	1.00E-08	1.00E-08	1.00E-08	1.35E-06	2.37E-06	3.83E-06	4.22E-06	1.00E-08	1.00E-08	1.00E-08	3.63E-06
CCNL1	0.000280811	0.000339543	0.00028993	0.000195222	0.000213835	0.000218576	0.000231643	0.00027311	0.000206254	0.000248257	0.000453854	0.00016841	0.000144774
PTX3	1.68E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.51E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SHOX2	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
RSRC1	4.65E-05	5.58E-05	6.90E-05	6.89E-05	7.13E-05	5.21E-05	4.68E-05	4.97E-05	6.31E-05	5.08E-05	0.000179159	6.12E-05	0.000104964
MLF1	2.30E-05	1.28E-05	2.07E-05	1.00E-08	2.04E-05	2.76E-05	3.48E-05	2.07E-05	1.68E-05	7.53E-06	1.00E-08	4.59E-05	1.00E-08
GFM1	4.24E-05	4.94E-05	4.14E-05	9.19E-05	5.09E-05	4.62E-05	3.60E-05	5.43E-05	5.05E-05	5.45E-05	0.000131386	1.00E-08	3.26E-05
LXN	1.49E-05	1.28E-05	1.38E-05	2.30E-05	3.06E-05	1.11E-05	1.31E-05	9.19E-06	8.43E-06	1.13E-05	1.00E-08	1.53E-05	1.81E-05
RARRES1	3.27E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
MFSD1	4.40E-05	7.33E-05	5.52E-05	9.19E-05	6.11E-05	4.83E-05	5.18E-05	5.20E-05	6.74E-05	6.58E-05	7.17E-05	9.19E-05	4.34E-05
SCHIP1	4.85E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
IL12A	1.28E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.49E-06	2.51E-06	3.83E-06	1.00E-08	1.89E-06	1.00E-08	1.00E-08	3.63E-06
IFT80	1.28E-05	1.60E-05	6.91E-06	3.45E-05	2.04E-05	9.20E-06	7.50E-06	8.42E-06	1.26E-05	1.51E-05	2.39E-05	1.00E-08	7.25E-06
SMC4	0.00012569	9.09E-05	3.45E-05	0.000103358	5.09E-05	5.63E-05	7.84E-05	4.44E-05	2.95E-05	4.70E-05	0.000107499	0.000107173	0.0006804
TRIM59	1.06E-05	2.07E-05	1.00E-08	2.30E-05	1.00E-08	4.11E-06	5.98E-06	8.42E-06	2.11E-05	7.53E-06	3.58E-05	1.53E-05	4.34E-05
KPNA4	9.34E-05	0.000106812	8.28E-05	0.000137807	4.07E-05	9.10E-05	7.68E-05	8.95E-05	5.89E-05	9.22E-05	0.000155272	0.000107173	7.60E-05
ARL14	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	8.07E-08	1.49E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PPM1L	6.66E-06	9.57E-06	2.07E-05	1.15E-05	1.02E-05	6.38E-05	6.11E-05	6.12E-05	8.42E-05	6.96E-05	7.17E-05	1.53E-05	1.09E-05
B3GALNT1	4.28E-06	4.79E-06	2.07E-05	4.59E-05	1.00E-08	1.85E-06	1.12E-06	1.54E-06	4.22E-06	1.89E-06	1.00E-08	1.00E-08	1.00E-08
NMD3	4.70E-05	3.83E-05	9.67E-05	3.45E-05	7.13E-05	4.13E-05	4.44E-05	3.75E-05	5.47E-05	3.95E-05	0.000107499	4.59E-05	3.98E-05
