	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
EMC1	1.93E-05	3.28E-05	2.15E-05	3.09E-05	3.08E-05	2.34E-05	2.82E-05	2.91E-05	2.92E-05
MRTO4	2.26E-05	4.25E-05	3.01E-05	4.22E-05	4.49E-05	3.03E-05	4.19E-05	4.88E-05	4.00E-05
AKR7A2	9.66E-05	7.98E-05	9.92E-05	0.000120934	0.000145486	0.000119987	0.000153713	9.67E-05	0.000118294
CAPZB	0.000561111	0.000633534	0.000593796	0.000737449	0.000704154	0.000590316	0.000621311	0.000657492	0.000555649
NBL1	3.80E-07	1.77E-05	3.21E-06	2.15E-05	7.93E-06	6.60E-06	2.32E-07	2.53E-06	2.42E-06
TMCO4	1.05E-05	2.21E-05	1.44E-05	2.00E-05	1.76E-05	1.95E-05	1.49E-05	1.95E-05	1.02E-05
OTUD3	4.52E-06	1.06E-05	4.33E-06	6.23E-06	5.67E-06	6.83E-06	4.23E-06	8.87E-06	5.80E-06
PLA2G2A	9.06E-08	2.28E-06	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
PLA2G2D	1.24E-07	3.76E-06	1.00E-08	8.83E-06	1.51E-06	1.12E-06	1.00E-08	4.04E-06	4.97E-06
PLA2G2C	1.45E-06	4.54E-07	1.00E-08	3.80E-07	1.00E-08	1.00E-08	5.52E-07	3.96E-07	2.77E-06
UBXN10	1.58E-07	7.40E-07	1.40E-07	4.27E-07	1.55E-07	1.70E-07	1.00E-08	5.23E-07	2.44E-06
CAMK2N1	1.00E-08	1.99E-06	6.18E-07	6.28E-07	7.41E-07	1.09E-06	8.45E-07	4.52E-07	1.00E-08
MUL1	1.64E-05	2.50E-05	1.70E-05	2.51E-05	3.38E-05	2.10E-05	2.34E-05	2.46E-05	2.60E-05
CDA	0.00021492	1.18E-05	4.62E-05	1.86E-05	1.59E-05	7.40E-06	7.85E-05	6.65E-05	6.10E-05
PINK1	3.21E-05	4.73E-05	2.39E-05	4.90E-05	7.22E-05	7.36E-05	6.58E-05	2.51E-05	3.19E-05
DDOST	0.000178433	0.000204843	0.000248724	0.000262067	0.000314158	0.000272908	0.000285011	0.000236097	0.000237744
KIF17	8.47E-07	8.34E-06	1.79E-05	1.11E-05	1.28E-05	1.48E-05	5.43E-06	8.11E-06	1.28E-06
HP1BP3	0.000221632	0.000257066	0.000214533	0.000214294	0.0002137	0.000238825	0.000266605	0.00019781	0.000193705
EIF4G3	8.92E-05	6.55E-05	6.65E-05	5.16E-05	5.71E-05	5.77E-05	7.45E-05	8.15E-05	7.62E-05
ECE1	0.000191104	6.78E-06	4.37E-05	5.02E-06	2.03E-06	4.64E-06	2.24E-05	7.17E-05	2.52E-05
NBPF3	3.73E-07	8.44E-07	1.10E-06	1.13E-06	1.16E-06	1.49E-06	5.49E-07	1.00E-08	1.69E-06
ALPL	1.18E-07	7.39E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
USP48	5.30E-05	7.32E-05	6.03E-05	6.44E-05	6.72E-05	7.14E-05	7.02E-05	5.62E-05	4.98E-05
HSPG2	1.88E-07	9.97E-07	1.14E-06	9.18E-07	1.75E-06	1.62E-06	1.23E-06	1.00E-08	2.31E-06
CDC42	0.000659696	0.000534377	0.00061921	0.000510781	0.000482241	0.000453825	0.000510491	0.000631893	0.000548902
ZBTB40	1.28E-05	2.56E-05	9.69E-06	1.72E-05	1.31E-05	1.51E-05	1.30E-05	1.33E-05	1.68E-05
C1QA	9.89E-05	0.001727576	0.000712092	0.00171117	0.001662277	0.001630975	0.000552249	0.000534154	0.000635825
C1QC	6.28E-05	0.001719343	0.00072547	0.001827851	0.001835718	0.001696495	0.000541976	0.000508567	0.000701918
C1QB	6.11E-05	0.001586019	0.000563407	0.001704386	0.001696107	0.001546435	0.000393187	0.00053095	0.000584427
EPHB2	1.05E-05	2.67E-05	1.22E-05	4.15E-05	3.28E-05	3.18E-05	9.16E-06	1.81E-05	1.71E-05
KDM1A	3.78E-05	3.74E-05	3.16E-05	3.11E-05	4.44E-05	4.66E-05	4.46E-05	3.80E-05	3.11E-05
LUZP1	6.04E-05	8.24E-05	7.60E-05	5.51E-05	5.23E-05	6.64E-05	5.11E-05	4.76E-05	4.77E-05
HNRNPR	0.000140745	0.000175606	0.000154175	0.000162475	0.000185195	0.000182915	0.000184428	0.000211668	0.000152127
ZNF436	2.25E-06	6.01E-06	2.88E-06	5.82E-06	3.53E-06	2.30E-06	2.97E-06	4.60E-06	4.71E-06
TCEA3	1.50E-06	2.74E-06	2.08E-06	1.68E-06	1.85E-06	2.48E-06	7.78E-07	2.20E-06	4.86E-07
E2F2	6.37E-07	1.00E-08	1.00E-08	4.12E-07	4.32E-07	1.00E-08	3.38E-07	1.00E-08	1.00E-08
ID3	4.46E-05	0.000154236	0.000154455	0.000199221	0.000182111	0.000131899	0.000169391	0.000106487	0.000167767
PITHD1	5.57E-05	0.000101394	8.93E-05	0.000103153	0.000108506	0.000113402	8.14E-05	6.53E-05	0.000106591
LYPLA2	5.65E-05	5.53E-05	5.11E-05	7.35E-05	7.41E-05	4.41E-05	6.05E-05	8.96E-05	8.03E-05
GALE	1.73E-05	1.58E-05	2.67E-05	3.50E-05	3.04E-05	1.52E-05	1.87E-05	3.01E-05	3.45E-05
HMGCL	1.31E-05	4.80E-05	2.60E-05	5.58E-05	5.08E-05	3.76E-05	3.17E-05	3.55E-05	4.36E-05
FUCA1	2.80E-05	0.000168423	2.97E-05	0.000206645	0.000134341	9.37E-05	6.89E-05	3.00E-05	9.02E-05
PNRC2	0.000318404	0.000262717	0.000337395	0.000234374	0.000219476	0.000318782	0.000290857	0.000282661	0.000359715
SRSF10	0.00019801	0.000205117	0.000223181	0.000192225	0.000214028	0.000219841	0.000228842	0.000229603	0.000213642
IFNLR1	1.40E-06	1.52E-06	5.47E-05	1.59E-05	3.02E-05	3.36E-05	2.70E-05	5.59E-06	9.01E-06
STPG1	9.78E-07	3.39E-06	4.47E-06	4.45E-06	4.93E-06	4.69E-06	2.75E-06	1.25E-06	2.67E-06
NIPAL3	5.08E-06	7.48E-06	1.57E-05	1.29E-05	1.63E-05	1.59E-05	1.67E-05	9.09E-06	7.84E-06
RCAN3	1.71E-05	2.10E-05	4.38E-05	3.00E-05	3.97E-05	3.50E-05	3.38E-05	2.41E-05	1.83E-05
NCMAP	1.00E-08	3.24E-07	3.04E-06	5.41E-07	3.24E-07	2.94E-06	6.16E-07	1.00E-08	1.00E-08
SRRM1	0.000282348	0.000345403	0.00031012	0.000306226	0.000352179	0.000312421	0.000364678	0.000333824	0.00028767
CLIC4	0.000174536	0.000129226	0.000247521	0.000150854	0.000137401	0.000173635	0.000126393	0.000182306	0.000174848
RUNX3	0.000100229	3.02E-05	7.49E-05	5.76E-05	8.92E-05	7.26E-05	0.000103965	0.000114892	4.33E-05
SYF2	0.000204462	0.000167225	0.000145135	0.000176137	0.000195443	0.000184751	0.000183386	0.000153912	0.000202246
