	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
AK3	2.41E-05	6.96E-05	4.08E-05	6.23E-05	5.94E-05	6.15E-05	4.57E-05	3.42E-05	4.56E-05
RCL1	6.31E-06	1.79E-05	1.01E-05	1.53E-05	1.75E-05	1.64E-05	9.31E-06	7.89E-06	1.21E-05
JAK2	6.83E-05	8.65E-05	8.78E-05	7.39E-05	7.24E-05	9.63E-05	7.69E-05	0.000153008	3.54E-05
PLGRKT	3.65E-05	6.45E-05	8.54E-05	9.94E-05	7.99E-05	5.89E-05	6.29E-05	0.000116705	7.42E-05
CD274	8.91E-06	7.48E-06	5.66E-05	1.55E-05	9.46E-06	5.04E-06	3.76E-06	0.000108667	1.48E-05
PDCD1LG2	1.19E-06	2.95E-05	1.37E-05	3.13E-05	1.45E-05	1.40E-05	1.15E-06	3.30E-05	8.64E-06
RIC1	5.44E-05	9.28E-05	6.16E-05	7.45E-05	8.07E-05	9.82E-05	6.65E-05	4.67E-05	7.19E-05
ERMP1	4.97E-06	6.39E-06	2.33E-06	6.57E-06	7.64E-06	4.38E-06	6.41E-06	3.01E-06	8.04E-06
KIAA2026	3.83E-05	4.99E-05	2.79E-05	3.50E-05	2.27E-05	3.35E-05	2.83E-05	2.65E-05	3.60E-05
RANBP6	5.32E-06	1.28E-05	5.76E-06	1.08E-05	1.05E-05	6.21E-06	5.74E-06	5.94E-06	6.71E-06
UHRF2	1.04E-05	3.70E-05	1.66E-05	2.90E-05	2.35E-05	2.06E-05	1.90E-05	1.24E-05	2.09E-05
KDM4C	4.53E-05	3.93E-05	4.45E-05	3.97E-05	3.91E-05	4.38E-05	3.50E-05	4.17E-05	4.22E-05
LURAP1L	1.00E-08	7.31E-07	1.00E-08	7.33E-07	1.52E-07	3.70E-07	2.76E-07	1.00E-08	3.70E-07
ZDHHC21	1.21E-05	2.68E-05	2.14E-05	2.96E-05	2.80E-05	2.50E-05	1.86E-05	1.81E-05	1.39E-05
FREM1	1.00E-08	1.00E-08	1.00E-08	1.13E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08
TTC39B	6.01E-06	8.30E-06	7.33E-06	8.19E-06	8.73E-06	8.13E-06	8.46E-06	1.16E-05	8.68E-06
SNAPC3	1.32E-05	2.74E-05	1.62E-05	2.22E-05	2.89E-05	2.30E-05	1.77E-05	2.07E-05	1.45E-05
PSIP1	3.45E-05	9.85E-05	7.17E-05	7.70E-05	8.45E-05	0.000103042	7.24E-05	4.43E-05	6.24E-05
CCDC171	1.41E-06	4.87E-06	5.41E-06	4.40E-06	3.59E-06	4.27E-06	2.96E-06	3.03E-06	2.81E-06
BNC2	1.74E-06	2.59E-05	1.38E-05	2.67E-05	2.52E-05	2.51E-05	1.73E-05	1.50E-06	1.12E-05
CNTLN	4.41E-05	6.88E-05	5.62E-05	6.52E-05	5.59E-05	6.56E-05	5.98E-05	7.74E-05	4.20E-05
RRAGA	7.25E-05	9.69E-05	0.000109273	0.000118294	0.000114977	0.000102768	9.47E-05	9.67E-05	0.00012297
HAUS6	1.34E-05	2.17E-05	2.02E-05	2.14E-05	1.89E-05	2.64E-05	1.93E-05	1.62E-05	2.37E-05
PLIN2	0.000531777	0.000531071	0.000573394	0.000587011	0.000765096	0.000807332	0.000862716	0.00041776	0.00100697
DENND4C	4.29E-05	0.000122214	5.58E-05	8.56E-05	0.000109052	9.70E-05	6.55E-05	4.43E-05	7.66E-05
ACER2	3.14E-07	1.98E-06	1.13E-06	7.46E-07	1.45E-06	1.17E-06	1.17E-06	8.21E-07	9.09E-07
MLLT3	4.62E-06	1.22E-05	1.13E-05	7.89E-06	8.79E-06	1.13E-05	8.69E-06	2.58E-06	9.18E-06
FOCAD	5.91E-06	1.06E-05	1.23E-05	1.07E-05	1.10E-05	1.17E-05	1.44E-05	9.22E-06	8.78E-06
IFNB1	1.23E-06	7.29E-06	0.000120815	3.81E-06	2.70E-07	1.23E-05	1.56E-06	9.60E-06	2.30E-06
KLHL9	3.32E-05	5.10E-05	3.05E-05	3.78E-05	3.43E-05	2.94E-05	2.67E-05	2.60E-05	4.07E-05
MTAP	9.83E-06	3.63E-05	1.37E-05	2.60E-05	2.15E-05	2.07E-05	1.41E-05	1.05E-05	1.30E-05
CDKN2A	4.94E-06	5.03E-06	8.05E-06	2.16E-05	1.66E-05	6.91E-06	2.92E-06	5.57E-06	7.79E-06
CDKN2B	1.92E-05	1.80E-05	2.89E-05	1.58E-05	9.06E-06	1.55E-05	1.05E-05	2.22E-05	1.96E-05
TUSC1	1.81E-06	1.33E-05	2.67E-06	8.51E-06	1.33E-05	1.41E-05	2.27E-06	3.39E-06	4.31E-06
CAAP1	4.69E-05	4.64E-05	5.57E-05	4.38E-05	4.11E-05	6.22E-05	4.95E-05	5.27E-05	3.64E-05
PLAA	7.90E-05	5.94E-05	7.81E-05	6.39E-05	6.09E-05	6.13E-05	5.28E-05	8.40E-05	5.82E-05
IFT74	1.12E-05	2.81E-05	1.40E-05	2.43E-05	2.30E-05	2.71E-05	1.99E-05	1.52E-05	1.61E-05
MOB3B	5.26E-05	5.20E-05	0.000115296	5.56E-05	6.09E-05	4.29E-05	4.84E-05	8.59E-05	8.23E-05
C9orf72	0.000270113	0.000155608	0.000166576	0.000117736	8.49E-05	0.000127309	0.000155007	0.000143974	0.000204588
ACO1	8.89E-06	2.01E-05	1.49E-05	2.06E-05	1.68E-05	1.75E-05	1.68E-05	1.35E-05	1.71E-05
DDX58	2.67E-05	4.64E-05	8.13E-05	4.98E-05	2.92E-05	4.15E-05	2.26E-05	0.000111575	4.30E-05
TOPORS	4.69E-05	6.59E-05	5.12E-05	4.84E-05	6.03E-05	6.36E-05	5.79E-05	6.13E-05	6.26E-05
NDUFB6	0.000171105	0.000157672	0.000180649	0.000223549	0.000204994	0.000156153	0.000203334	0.000204304	0.000215364
APTX	2.91E-05	4.09E-05	3.28E-05	3.88E-05	3.58E-05	3.68E-05	3.40E-05	3.96E-05	3.79E-05
DNAJA1	0.00075602	0.00081479	0.00083024	0.000594033	0.000627085	0.00089997	0.000577487	0.00069782	0.000701692
SMU1	0.000104362	0.000106632	9.71E-05	9.41E-05	0.000105745	0.00010459	0.000113864	9.94E-05	9.07E-05
B4GALT1	0.000403455	0.000402351	0.000411781	0.000276066	0.000293802	0.000434516	0.000345097	0.000239808	0.000287141
BAG1	0.000184033	0.00018912	0.000159867	0.000190189	0.000236653	0.00019604	0.00022452	0.000256069	0.000183303
CHMP5	0.000147484	0.000165115	0.000231394	0.000230997	0.0001904	0.000174777	0.000161116	0.000308761	0.000231868
NFX1	3.88E-05	6.27E-05	4.40E-05	4.90E-05	4.72E-05	4.04E-05	5.08E-05	4.46E-05	3.88E-05
AQP3	6.40E-06	4.29E-06	1.30E-05	7.90E-06	5.83E-06	5.41E-06	3.73E-06	1.33E-05	1.51E-05
NOL6	3.29E-06	1.11E-05	4.35E-06	1.03E-05	1.07E-05	7.16E-06	6.64E-06	9.55E-06	6.98E-06
PRSS3	1.00E-08	1.00E-08	1.62E-07	3.69E-06	1.00E-08	1.19E-07	1.00E-08	4.40E-07	1.59E-07
UBE2R2	0.000175124	0.000103042	8.25E-05	9.62E-05	9.94E-05	9.75E-05	0.000133193	0.000115148	0.000116421
UBAP2	3.71E-05	3.28E-05	3.53E-05	2.84E-05	3.11E-05	2.83E-05	3.39E-05	3.68E-05	2.75E-05
DCAF12	3.70E-05	7.29E-05	3.15E-05	5.41E-05	4.66E-05	4.12E-05	3.63E-05	4.48E-05	3.84E-05
UBAP1	0.00025769	0.000131184	0.000154748	0.000104943	0.000108561	0.000128738	0.000155741	0.000146898	0.000203211
KIF24	8.45E-08	1.02E-06	1.00E-08	5.71E-07	5.84E-07	1.32E-06	6.09E-07	1.00E-08	1.00E-08
NUDT2	3.06E-05	4.51E-05	3.54E-05	5.85E-05	7.64E-05	6.62E-05	7.39E-05	5.19E-05	5.03E-05
C9orf24	4.95E-07	1.08E-06	9.55E-07	2.39E-07	1.28E-07	4.04E-07	1.01E-06	1.00E-08	1.00E-08
FAM219A	8.86E-06	1.52E-05	1.12E-05	1.47E-05	8.16E-06	8.15E-06	8.09E-06	9.04E-06	1.21E-05
ENHO	3.10E-06	8.19E-06	2.12E-06	1.38E-06	4.34E-06	2.64E-06	6.45E-06	1.04E-06	1.15E-06
RPP25L	2.91E-05	2.98E-05	2.07E-05	3.64E-05	3.57E-05	3.22E-05	3.61E-05	4.06E-05	3.50E-05
DCTN3	0.000189791	0.000125532	0.000144064	0.000159904	0.000183345	0.00013576	0.000181862	0.00018462	0.000178996
SIGMAR1	2.58E-05	4.33E-05	2.69E-05	4.83E-05	5.08E-05	4.80E-05	3.91E-05	4.22E-05	4.27E-05
GALT	3.29E-05	4.33E-05	3.26E-05	4.63E-05	4.56E-05	3.92E-05	3.79E-05	3.01E-05	2.98E-05
IL11RA	3.43E-06	4.85E-06	3.01E-06	5.04E-06	3.41E-06	2.51E-06	2.12E-06	1.24E-06	2.93E-06
CCL19	5.55E-07	4.54E-06	7.49E-06	6.71E-06	4.22E-06	4.00E-06	1.72E-06	3.95E-05	9.99E-07
DNAJB5	2.61E-05	1.69E-05	2.49E-05	1.44E-05	2.48E-05	1.54E-05	2.63E-05	1.33E-05	1.98E-05
VCP	0.000297445	0.000261245	0.00027168	0.000272372	0.000296596	0.000248654	0.000265296	0.000330204	0.000296497
FANCG	9.48E-07	9.74E-06	5.57E-06	8.19E-06	7.11E-06	8.11E-06	4.66E-06	9.43E-06	6.55E-06
PIGO	1.24E-05	2.79E-05	2.14E-05	2.61E-05	2.66E-05	3.02E-05	1.71E-05	1.54E-05	1.91E-05
STOML2	8.64E-05	8.22E-05	9.65E-05	0.000111453	0.000133664	9.71E-05	0.000124049	0.000127923	0.000128706
FAM214B	5.20E-05	3.95E-05	4.33E-05	3.74E-05	3.63E-05	2.94E-05	3.58E-05	5.43E-05	5.26E-05
UNC13B	2.49E-06	1.77E-05	9.99E-06	1.44E-05	1.62E-05	1.30E-05	1.00E-05	6.75E-06	8.63E-06
RUSC2	7.57E-06	7.45E-06	5.70E-06	5.97E-06	2.97E-06	3.64E-06	1.63E-06	4.97E-06	1.08E-05
TESK1	3.29E-05	5.90E-05	2.77E-05	5.02E-05	2.82E-05	3.13E-05	4.08E-05	4.72E-05	4.96E-05
CD72	5.19E-05	0.000163593	0.00010155	0.000197208	0.000143573	0.000210135	0.00015204	0.000112075	0.000172222
SIT1	5.95E-07	1.95E-06	1.93E-06	4.40E-06	3.43E-06	2.16E-06	1.42E-06	1.66E-06	2.72E-06
CCDC107	0.000122571	0.000191046	0.000131305	0.000225055	0.000247741	0.000201001	0.0002354	0.000172677	0.000203217
ARHGEF39	1.09E-06	1.77E-06	5.06E-07	2.11E-06	1.21E-06	1.81E-06	1.06E-06	4.97E-07	4.38E-07
TPM2	3.65E-06	5.95E-05	3.88E-06	2.19E-05	7.49E-06	1.22E-05	4.06E-06	9.80E-06	1.18E-05
TLN1	0.000531765	0.00036555	0.000286371	0.000342573	0.000389664	0.000366375	0.000430404	0.000476421	0.00038521
CREB3	5.55E-05	5.24E-05	7.99E-05	7.20E-05	9.00E-05	7.05E-05	7.60E-05	9.30E-05	8.14E-05
GBA2	3.06E-05	2.79E-05	2.09E-05	2.47E-05	2.80E-05	2.17E-05	2.95E-05	2.54E-05	2.11E-05
RGP1	1.25E-05	2.58E-05	1.49E-05	1.89E-05	1.34E-05	1.32E-05	8.91E-06	8.83E-06	1.35E-05
SPAG8	1.19E-06	4.32E-06	2.17E-06	4.38E-06	3.66E-06	3.76E-06	1.79E-06	7.48E-07	1.51E-06
HINT2	7.75E-05	9.29E-05	6.84E-05	0.000121633	0.000132092	0.000104015	0.000129637	8.31E-05	6.85E-05
TMEM8B	1.15E-05	1.14E-05	1.62E-05	3.43E-06	2.33E-06	8.60E-06	5.63E-06	3.01E-06	3.87E-06
RECK	1.51E-05	2.08E-05	1.73E-05	1.92E-05	1.99E-05	1.87E-05	1.69E-05	1.15E-05	1.82E-05
GLIPR2	0.000405112	0.00015155	0.000278785	0.000167438	0.000175096	9.29E-05	0.000246745	0.000488727	0.00036368
CLTA	0.000397901	0.000457826	0.000393222	0.000531529	0.000533537	0.000411647	0.000482976	0.000495914	0.00043884
GNE	9.63E-06	1.32E-05	7.35E-06	1.06E-05	7.73E-06	1.06E-05	8.79E-06	9.24E-06	9.92E-06
RNF38	1.71E-05	3.36E-05	2.74E-05	2.92E-05	2.37E-05	1.94E-05	2.07E-05	1.83E-05	2.34E-05
MELK	1.00E-08	5.41E-07	2.99E-07	1.83E-06	1.31E-06	7.71E-07	1.00E-08	3.64E-07	5.49E-07
PAX5	1.00E-08	4.16E-07	7.03E-07	9.12E-08	1.00E-08	1.39E-07	1.00E-08	1.00E-08	1.00E-08
ZCCHC7	2.59E-05	4.36E-05	3.28E-05	3.99E-05	3.84E-05	3.81E-05	3.29E-05	3.68E-05	4.21E-05
GRHPR	0.000123311	0.000125902	9.89E-05	0.000137738	0.000156332	0.000133176	0.000154637	0.000152683	0.000122324
ZBTB5	7.43E-06	8.27E-06	7.38E-06	7.47E-06	6.78E-06	8.30E-06	6.98E-06	8.50E-06	9.24E-06
POLR1E	7.91E-06	2.22E-05	1.45E-05	1.47E-05	1.87E-05	2.42E-05	1.85E-05	9.13E-06	1.17E-05
FBXO10	5.91E-07	2.85E-06	8.52E-07	3.01E-06	1.73E-06	9.15E-07	9.56E-07	1.00E-08	1.36E-06
TOMM5	0.000139374	0.000148087	0.000129245	0.000188511	0.000212944	0.000133664	0.000187189	0.000222813	0.000209053
TRMT10B	1.15E-05	2.81E-05	1.12E-05	2.36E-05	2.12E-05	1.87E-05	1.67E-05	2.10E-05	1.43E-05
EXOSC3	2.47E-05	3.75E-05	3.09E-05	3.89E-05	5.38E-05	3.26E-05	3.28E-05	4.87E-05	4.54E-05
DCAF10	2.36E-05	3.76E-05	2.71E-05	3.18E-05	3.12E-05	3.19E-05	3.05E-05	2.37E-05	3.54E-05
SLC25A51	4.43E-05	3.05E-05	3.38E-05	3.51E-05	6.75E-05	4.79E-05	9.44E-05	2.50E-05	3.95E-05
SHB	1.53E-05	1.71E-05	1.18E-05	1.90E-05	4.33E-05	2.47E-05	5.98E-05	1.63E-05	2.03E-05
ALDH1B1	2.70E-06	8.64E-06	4.99E-06	8.70E-06	9.89E-06	8.77E-06	1.35E-05	7.51E-06	6.01E-06
ANKRD20A2	1.00E-08	3.41E-07	4.55E-07	1.16E-07	4.44E-07	1.32E-06	2.93E-07	3.69E-07	1.00E-08
FAM27C	9.55E-07	6.52E-07	3.26E-06	1.76E-06	1.41E-06	1.30E-06	2.40E-06	1.00E-08	4.38E-06
ANKRD20A4	1.78E-07	4.98E-07	4.55E-07	7.88E-07	1.24E-07	5.81E-07	2.42E-07	2.89E-07	5.06E-07
CBWD5	8.35E-05	4.33E-05	7.35E-05	5.71E-05	6.28E-05	5.09E-05	6.48E-05	0.000117051	6.67E-05
ANKRD20A3	1.00E-08	8.24E-07	1.00E-08	8.25E-08	1.61E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08
ZNF658	1.14E-06	4.59E-06	1.96E-06	4.68E-06	5.37E-06	3.12E-06	1.57E-06	2.75E-06	2.35E-06
ANKRD20A1	1.56E-07	1.05E-07	1.00E-08	1.29E-07	1.00E-08	2.43E-07	2.65E-07	1.00E-08	1.00E-08
CBWD3	6.19E-06	4.17E-06	2.28E-06	4.46E-06	2.55E-06	1.97E-06	2.46E-06	6.14E-06	5.25E-06
PGM5	8.01E-07	1.61E-05	9.78E-06	9.76E-06	8.65E-06	1.52E-05	3.08E-06	6.53E-07	1.42E-06
PIP5K1B	1.31E-05	1.62E-05	1.13E-05	1.34E-05	9.06E-06	1.68E-05	9.62E-06	7.69E-06	4.51E-06
FAM122A	2.24E-05	4.40E-05	2.40E-05	3.91E-05	3.81E-05	3.46E-05	2.89E-05	2.48E-05	2.97E-05
FXN	2.89E-05	5.70E-05	2.65E-05	4.35E-05	5.25E-05	4.84E-05	5.18E-05	3.32E-05	3.05E-05
TJP2	5.75E-05	2.10E-05	3.62E-05	2.15E-05	1.73E-05	2.34E-05	2.96E-05	6.79E-05	2.94E-05
APBA1	1.79E-07	1.40E-05	2.14E-06	6.94E-06	3.21E-06	7.09E-06	2.21E-06	7.17E-07	1.81E-06
PTAR1	3.11E-05	4.51E-05	2.91E-05	3.22E-05	2.53E-05	2.36E-05	2.67E-05	2.82E-05	3.53E-05
MAMDC2	9.89E-08	0.000141123	3.69E-07	4.72E-05	3.08E-06	8.91E-06	1.00E-08	1.00E-08	9.12E-07
SMC5	5.69E-05	6.90E-05	5.62E-05	5.74E-05	5.24E-05	5.96E-05	4.56E-05	5.22E-05	5.74E-05
KLF9	2.96E-05	0.000179704	3.94E-05	7.55E-05	7.52E-05	0.000110897	7.35E-05	4.66E-05	5.20E-05
ABHD17B	2.32E-05	2.27E-05	1.22E-05	1.49E-05	6.32E-06	1.45E-05	1.50E-05	1.67E-05	2.21E-05
C9orf85	1.79E-05	3.38E-05	1.67E-05	3.07E-05	3.18E-05	3.56E-05	3.07E-05	1.54E-05	2.22E-05
ZFAND5	0.000512731	0.000748991	0.000677578	0.0006809	0.000687379	0.001099749	0.000769973	0.000495967	0.00071689
ALDH1A1	7.11E-05	9.11E-05	1.79E-05	0.000116537	0.000102054	9.38E-05	5.56E-05	5.99E-05	3.75E-05
ANXA1	0.001050976	0.000874818	0.000852002	0.000676527	0.000590875	0.000554359	0.000644668	0.000708972	0.001017882
C9orf40	1.86E-06	2.94E-06	1.55E-06	4.24E-06	2.06E-06	3.06E-06	1.49E-06	1.00E-08	2.40E-06
NMRK1	2.07E-05	7.48E-05	3.00E-05	7.52E-05	3.89E-05	3.22E-05	1.81E-05	2.72E-05	3.49E-05
OSTF1	0.00028871	0.000323473	0.000334918	0.000363447	0.000308545	0.000280617	0.000251354	0.000306499	0.000292966
PCSK5	4.29E-05	1.53E-05	3.52E-05	1.48E-05	1.27E-05	1.91E-05	3.76E-05	1.94E-05	4.38E-05
RFK	3.18E-05	3.72E-05	3.41E-05	4.23E-05	3.56E-05	3.06E-05	3.01E-05	5.82E-05	5.12E-05
GCNT1	1.18E-05	7.92E-05	1.04E-05	4.61E-05	2.79E-05	3.17E-05	1.63E-05	2.05E-05	1.47E-05
PRUNE2	1.69E-06	1.81E-05	1.59E-06	1.73E-05	5.59E-06	7.00E-06	1.54E-06	1.61E-06	5.39E-06
VPS13A	1.39E-05	2.52E-05	1.89E-05	2.66E-05	2.99E-05	3.26E-05	2.63E-05	1.50E-05	1.72E-05
GNAQ	0.000233056	0.000214786	0.000222665	0.000157431	0.000128227	0.000156526	0.000206722	0.000170196	0.000170205
CEP78	4.79E-06	1.84E-05	1.43E-05	1.81E-05	1.49E-05	1.58E-05	1.30E-05	8.62E-06	7.26E-06
TLE4	0.000132619	0.000114284	7.20E-05	6.23E-05	4.21E-05	6.33E-05	6.16E-05	0.000101637	7.32E-05
TLE1	2.28E-05	2.33E-05	1.00E-05	8.19E-06	5.74E-06	1.18E-05	1.10E-05	1.31E-05	1.24E-05
FRMD3	6.13E-06	1.01E-05	3.24E-06	6.62E-06	8.21E-06	1.01E-05	1.29E-05	1.41E-05	5.66E-06
IDNK	9.81E-06	2.17E-05	1.67E-05	2.42E-05	1.76E-05	1.91E-05	1.28E-05	1.35E-05	1.62E-05
UBQLN1	0.0001255	0.000122747	0.000113697	0.00011241	0.000107022	0.000118843	0.000107702	0.000133318	0.000131937
GKAP1	3.35E-06	1.43E-05	3.90E-06	1.08E-05	9.07E-06	1.70E-05	6.15E-06	4.48E-06	5.70E-06
KIF27	1.41E-06	4.86E-06	3.57E-06	2.97E-06	3.01E-06	3.02E-06	1.90E-07	5.78E-07	1.32E-06
C9orf64	7.38E-06	2.09E-05	1.16E-05	2.20E-05	2.30E-05	1.79E-05	1.57E-05	1.27E-05	1.12E-05
HNRNPK	0.000602989	0.000551412	0.000563363	0.000507429	0.000562601	0.000563142	0.000569117	0.000555446	0.000516521
RMI1	4.29E-06	1.23E-05	8.02E-06	1.24E-05	1.09E-05	8.00E-06	4.57E-06	1.51E-05	5.96E-06
SLC28A3	8.37E-07	3.33E-07	7.72E-07	4.76E-07	6.65E-07	1.00E-08	1.00E-08	5.40E-07	2.11E-06
AGTPBP1	0.000139471	7.64E-05	6.80E-05	4.99E-05	4.12E-05	4.80E-05	6.71E-05	7.44E-05	6.11E-05
NAA35	1.29E-05	2.20E-05	1.61E-05	1.87E-05	2.01E-05	1.69E-05	1.64E-05	1.27E-05	1.71E-05
GOLM1	4.35E-05	1.66E-05	2.61E-05	1.91E-05	1.68E-05	1.36E-05	2.36E-05	2.57E-05	2.83E-05
ISCA1	5.18E-05	7.11E-05	5.72E-05	7.71E-05	7.23E-05	6.64E-05	8.14E-05	7.83E-05	0.000115045
DAPK1	0.000121514	0.000234931	0.000146274	0.000224997	0.000208835	0.000271714	0.000229984	0.00013064	0.000133056
CTSL	0.000786449	0.000723793	0.000701479	0.000844134	0.00064945	0.000543794	0.000460149	0.000706779	0.001226868
CDK20	2.49E-06	2.11E-06	1.13E-06	2.23E-06	1.74E-06	1.06E-06	5.09E-07	1.00E-08	2.28E-06
SPIN1	2.44E-05	8.18E-05	4.18E-05	6.36E-05	5.31E-05	5.48E-05	3.55E-05	2.53E-05	4.47E-05
C9orf47	5.25E-06	3.55E-07	1.53E-06	6.66E-07	1.45E-07	1.00E-08	2.48E-07	1.80E-06	1.97E-06
S1PR3	2.31E-05	2.53E-07	7.20E-06	1.75E-06	3.05E-07	5.99E-07	5.58E-06	6.75E-06	1.35E-05
CKS2	0.00014631	0.000353594	0.00039926	0.000271141	0.00025772	0.000472751	0.000275548	0.000246213	0.000285083
SECISBP2	7.59E-05	0.000100743	8.85E-05	8.01E-05	8.25E-05	9.44E-05	8.20E-05	8.34E-05	8.96E-05
SEMA4D	0.000137095	6.56E-05	0.000141137	7.96E-05	8.50E-05	9.31E-05	0.00011168	0.000125044	9.29E-05
GADD45G	3.61E-05	0.000130537	0.000118064	0.000152548	0.000152794	0.000182999	8.97E-05	5.47E-05	6.18E-05
SYK	0.000201895	0.000247775	0.000228787	0.00024489	0.00025178	0.000251194	0.00021273	0.000205776	0.000173593
AUH	1.23E-05	2.77E-05	2.20E-05	2.74E-05	3.21E-05	3.47E-05	2.89E-05	1.29E-05	2.59E-05
NFIL3	0.000137001	8.56E-05	0.000104154	8.06E-05	4.61E-05	8.05E-05	9.45E-05	8.47E-05	0.000114856
SPTLC1	4.96E-05	7.07E-05	6.41E-05	6.92E-05	7.13E-05	7.40E-05	5.69E-05	6.20E-05	7.51E-05
NOL8	1.83E-05	5.54E-05	2.32E-05	5.16E-05	5.27E-05	3.56E-05	2.75E-05	2.87E-05	2.94E-05
CENPP	2.94E-06	1.75E-05	8.35E-06	1.82E-05	1.58E-05	1.41E-05	7.94E-06	3.44E-06	7.97E-06
IPPK	1.64E-05	1.21E-05	1.11E-05	1.19E-05	1.18E-05	1.19E-05	9.89E-06	1.25E-05	1.67E-05
BICD2	5.62E-05	7.61E-05	6.83E-05	6.42E-05	7.25E-05	7.90E-05	6.54E-05	4.99E-05	4.92E-05
ZNF484	4.11E-06	1.15E-05	6.38E-06	1.02E-05	1.49E-05	8.98E-06	6.37E-06	3.46E-06	7.62E-06
FGD3	2.71E-05	6.23E-05	3.62E-05	4.92E-05	4.35E-05	5.41E-05	3.47E-05	2.86E-05	2.37E-05
SUSD3	1.34E-05	4.44E-05	5.27E-05	5.45E-05	8.42E-05	8.05E-05	6.08E-05	3.61E-05	1.91E-05
NINJ1	0.000972308	0.00057858	0.000898575	0.000677307	0.000540749	0.000583721	0.000665262	0.00087355	0.000811997
FAM120AOS	5.86E-05	7.53E-05	6.77E-05	7.38E-05	9.45E-05	9.62E-05	8.55E-05	7.22E-05	7.43E-05
FAM120A	0.000172238	0.000132389	0.000107622	0.000110326	9.66E-05	0.000109881	0.00016061	0.00014598	0.000126955
PHF2	2.36E-05	3.34E-05	1.35E-05	2.07E-05	1.50E-05	2.01E-05	1.99E-05	1.67E-05	1.86E-05
PTPDC1	4.33E-06	1.47E-05	1.30E-05	1.52E-05	1.22E-05	1.40E-05	1.50E-05	6.40E-06	1.04E-05
ZNF169	3.14E-06	4.81E-06	2.43E-06	4.86E-06	4.37E-06	3.43E-06	2.99E-06	3.83E-06	3.67E-06
FBP1	0.000314656	0.000112859	0.000201741	0.000162101	0.000233288	0.00012149	0.000325118	0.000473471	0.00064262
FANCC	2.28E-06	4.91E-06	2.93E-06	4.01E-06	3.52E-06	4.14E-06	2.18E-06	1.91E-06	3.45E-06
ERCC6L2	1.26E-05	3.55E-05	1.84E-05	2.63E-05	2.45E-05	3.05E-05	1.78E-05	1.41E-05	1.69E-05
SLC35D2	1.80E-05	2.56E-05	1.78E-05	2.33E-05	2.25E-05	2.39E-05	2.26E-05	1.49E-05	1.50E-05
ZNF367	3.70E-07	6.33E-06	1.78E-06	4.20E-06	4.44E-06	6.80E-06	2.01E-06	1.00E-08	1.61E-06
HABP4	1.44E-06	5.08E-06	4.70E-06	5.11E-06	5.42E-06	6.36E-06	5.29E-06	4.46E-06	3.56E-06
CDC14B	3.70E-07	1.05E-05	2.48E-06	6.19E-06	4.79E-06	6.84E-06	2.52E-07	1.00E-08	2.80E-06
ZNF510	1.26E-06	5.02E-06	2.28E-06	4.22E-06	2.45E-06	2.60E-06	1.47E-06	1.00E-08	1.25E-06
ZNF782	1.18E-06	7.73E-06	2.14E-06	5.18E-06	4.55E-06	3.20E-06	2.36E-06	1.81E-06	3.40E-06
CTSV	5.95E-07	6.77E-06	2.65E-06	4.43E-06	3.58E-06	2.92E-06	1.13E-06	8.78E-07	1.93E-06
CCDC180	1.84E-07	1.84E-06	1.24E-06	2.04E-06	9.53E-07	9.43E-07	2.78E-07	3.70E-07	6.74E-07
TDRD7	1.41E-05	1.27E-05	1.99E-05	1.96E-05	1.95E-05	1.72E-05	1.77E-05	3.57E-05	1.59E-05
TMOD1	2.00E-06	8.73E-06	2.58E-06	2.64E-06	9.48E-07	3.43E-06	3.23E-06	3.97E-07	8.26E-07
TSTD2	9.70E-06	2.24E-05	7.48E-06	1.99E-05	1.67E-05	1.42E-05	1.01E-05	1.08E-05	1.40E-05
NCBP1	1.97E-05	2.73E-05	2.12E-05	2.61E-05	3.29E-05	2.48E-05	2.44E-05	2.81E-05	1.98E-05
XPA	2.26E-05	7.11E-05	4.64E-05	6.28E-05	4.73E-05	5.46E-05	3.17E-05	3.47E-05	3.98E-05
ANP32B	0.000333143	0.000339047	0.000306333	0.000338692	0.00042395	0.000417207	0.000441554	0.000297598	0.000340449
NANS	0.000215028	0.000267456	0.000264175	0.000278957	0.000293073	0.000269051	0.000293179	0.000300648	0.000253623
TRIM14	2.38E-05	6.94E-05	4.00E-05	7.18E-05	5.62E-05	5.94E-05	3.13E-05	5.73E-05	3.10E-05
CORO2A	5.39E-06	3.52E-06	6.30E-06	8.96E-06	7.74E-06	6.57E-06	5.03E-06	4.93E-06	8.29E-06
TBC1D2	4.57E-05	3.24E-05	3.55E-05	3.28E-05	4.15E-05	1.88E-05	3.61E-05	4.21E-05	6.55E-05
ANKS6	5.01E-07	3.44E-06	2.14E-06	1.78E-06	1.88E-06	2.67E-06	2.12E-06	1.00E-08	1.70E-06
GALNT12	7.31E-07	2.59E-06	2.67E-06	3.02E-06	4.82E-06	3.91E-06	1.04E-06	1.01E-06	1.38E-06
