"CD8.c06.Tem.GZMK"	"CD8.c07.Temra.CX3CR1"	"CD8.c02.Tm.IL7R"	"CD8.c16.MAIT.SLC4A10"	"CD8.c01.Tn.MAL"	"CD8.c05.Tem.CXCR5"	"CD8.c09.Tk.KIR2DL4"	"CD8.c03.Tm.RPS12"	"CD8.c04.Tm.CD52"	"CD8.c10.Trm.ZNF683"	"CD8.c17.Tm.NME1"	"CD8.c15.ISG.IFIT1"	"CD8.c08.Tk.TYROBP"	"CD8.c11.Tex.PDCD1"	"CD8.c14.Tex.TCF7"	"CD8.c12.Tex.CXCL13"
"PRKCZ"	2.76970312386425e-05	1.48929015788634e-05	1.94222684053111e-05	2.94559070561904e-05	1.829354548856e-05	2.11376773960431e-05	2.49940135731456e-05	2.15088451720907e-05	3.75337586360956e-05	1.91207595056449e-05	3.68720700842412e-05	2.39238457280698e-05	1.78680844622652e-05	6.06747635751198e-06	1.90628544070429e-05	2.36046649990856e-05
"SKI"	0.00011767988276423	6.11362029131891e-05	7.16860679580718e-05	8.83477211685711e-05	9.84598603230153e-05	9.40281644123918e-05	6.99652380048076e-05	4.30076903441815e-05	3.57469129867577e-05	8.64942845424948e-05	4.60875876053015e-05	0.00014007681069298	2.67971266933979e-05	7.87571926476557e-05	3.81157088140858e-05	0.000153375322494056
"MORN1"	1.1636263016101e-06	3.73072539471586e-06	4.98750471931054e-06	3.93612094082538e-06	1e-08	3.17915160940646e-06	1e-08	9.22379078803889e-06	5.37053694801365e-06	2.27737824643245e-06	1e-08	1e-08	1e-08	6.06747635751198e-06	1e-08	1e-08
"RER1"	7.61493359062668e-05	0.000116415551634682	8.86095840037277e-05	0.000100126083991047	7.59570351063261e-05	8.08233660398648e-05	9.49492515779531e-05	0.000122860543840519	0.000146531343245707	0.000129574471224711	0.000119811727773784	0.000119579228640349	0.000125016591235857	0.00012115952715024	0.000123853553645779	0.000112084658745657
"PEX10"	1.03926367144909e-05	9.57757958641221e-06	1.09605103824832e-05	9.82530235206345e-06	8.44855945625846e-06	1.16302225678237e-05	1.00036054292582e-05	9.22379078803889e-06	1.25179195453652e-05	9.07951298572979e-06	1e-08	1.36750547017541e-05	1e-08	6.06747635751198e-06	9.53642720352144e-06	1.77059987493142e-05
"PLCH2"	6.93175780966062e-06	3.19919319547073e-06	7.47625707896581e-06	1e-08	7.04213288021538e-06	8.46107095841724e-06	1.50004081438873e-05	9.22379078803889e-06	1.6091610844041e-05	6.48822356123556e-06	1e-08	1.02587910263156e-05	1e-08	1.81824290725359e-05	9.53642720352144e-06	5.9086662497714e-06
"PANK4"	1.38535156193212e-05	1.91451591728244e-05	1.7929016989518e-05	5.89918141123807e-06	1.68871189125169e-05	1.26866064376259e-05	1.00036054292582e-05	1.53663179800648e-05	2.32389934413925e-05	1.06990688760387e-05	1e-08	3.42626367543854e-06	1.78680844622652e-05	1.81824290725359e-05	9.53642720352144e-06	1.18073324995428e-05
"TNFRSF14"	0.000131523398383552	0.0001743525613524	9.1596086835314e-05	9.81630235206345e-05	0.000150497643636609	0.000113571266003732	0.000144917278724244	0.000119789280244506	0.00016082610844041	9.00573075011743e-05	0.000101380692731663	0.00014007681069298	0.000178590844622652	0.000151446908937799	0.000219117825680993	7.66926612470281e-05
"FAM213B"	1.03926367144909e-05	5.32532199245123e-06	6.48075613510371e-06	1.17883628224761e-05	8.44855945625846e-06	8.98926289331832e-06	1.00036054292582e-05	2.15088451720907e-05	1.43047651947031e-05	9.40342416379157e-06	1e-08	1.02587910263156e-05	1.78680844622652e-05	1.2124952715024e-05	1e-08	1e-08
"MMEL1"	1e-08	1e-08	1e-08	1e-08	1.41642657604308e-06	5.38191934901077e-07	1e-08	1e-08	1e-08	3.33911178061778e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"TTC34"	1e-08	1.07306439849025e-06	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
"MEGF6"	5.77813150805051e-06	1.07306439849025e-06	5.98300566317265e-06	5.89918141123807e-06	1.54806923364738e-05	1.00456467631205e-05	1e-08	1.53663179800648e-05	1.43047651947031e-05	6.48822356123556e-06	1e-08	3.42626367543854e-06	1e-08	1.2124952715024e-05	9.53642720352144e-06	2.36046649990856e-05
"TPRG1L"	2.07752734289818e-05	2.12712879698049e-05	1.39470132140695e-05	1.57144837633015e-05	1.68871189125169e-05	1.26866064376259e-05	1.00036054292582e-05	9.22379078803889e-06	1.25179195453652e-05	1.32903583005329e-05	4.60875876053015e-05	1.36750547017541e-05	8.93904223113262e-06	6.06747635751198e-06	9.53642720352144e-06	1.77059987493142e-05
"WRAP73"	2.88506575402526e-05	2.92442709584817e-05	2.14132702930353e-05	3.33820279970158e-05	2.39192517927323e-05	2.85323644846582e-05	1.99972108585165e-05	3.07226359601296e-05	4.82548325321229e-05	2.59228942449423e-05	5.53031051263618e-05	2.39238457280698e-05	1.78680844622652e-05	1.2124952715024e-05	3.81157088140858e-05	1.77059987493142e-05
"TP73"	1e-08	5.41532199245123e-07	5.07750471931054e-07	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08	1e-08
